Branch,Gender,MCA Aggregate Percentage,MCA Aggregate CGPA,CURRENT ARREARS,HISTORY OF ARREARS,Under Graduation %,Under Graduation CGPA,12th %,12th CGPA,10th %,10th CGPA,Placement_Status
INT-MCA,M,69.6,6.96,0,2,68.4,6.84,70.25,7.03,82.2,8.22,0
INT-MCA,F,74.43,7.44,0,0,73.78,7.37,73.8,7.8,79.8,8.4,1
INT-MCA,M,71.42,7.14,0,0,70.5,7.05,77.8,7.7,93.1,9.8,1
INT-MCA,F,62.6,6.26,1,4,60,6,70.4,7.4,80,8,0
INT-MCA,F,83.4,8.34,0,0,82.8,8.28,83.66,8.3,77.9,8.2,0
INT-MCA,F,75.6,7.56,0,0,75,75,74.58,7.46,87.77,8.77,0
INT-MCA,F,69.2,6.92,0,0,67.9,6.79,71,7.1,79,7.9,0
INT-MCA,F,74.1,7.41,0,0,73.2,7.32,64.2,6.8,87.4,9.2,1
INT-MCA,F,60.9,6.09,1,4,61.82,6.1,70,7,67,7,0
INT-MCA,F,71.9,7.19,0,0,70.3,7.03,73.25,7.32,68.88,6.88,1
INT-MCA,F,71.6,7.16,0,1,71.06,7.1,76.08,7.61,81.11,8.11,1
INT-MCA,F,65.8,6.58,0,1,65.3,6.53,68.83,6.8,76.66,7.6,1
INT-MCA,M,58,5.8,3,7,67.8,7.13,69.75,6.9,72.2,7.6,0
INT-MCA,F,73.9,7.39,0,0,73.5,7.35,73.66,7.37,82,8.2,0
INT-MCA,F,79.62,7.96,0,0,78.86,7.88,73.2,7.7,85.5,9,0
INT-MCA,M,66.5,6.65,1,3,66.65,6.66,81.7,8.6,89.3,9.4,0
INT-MCA,F,59,5.9,1,6,58.1,5.81,69.33,6.9,64.89,6.4,0
INT-MCA,M,63,6.3,0,3,62,6.2,71,7.1,77.7,7.7,1
INT-MCA,F,79.5,7.95,0,0,78.9,7.89,90.58,9.06,93.33,9.33,1
INT-MCA,M,61,6.1,3,4,76.5,7.65,67.8,7.1,83.6,8.8,1
INT-MCA,F,75.86,7.58,0,0,75.86,7.58,84.42,8.44,95.55,9.55,0
INT-MCA,M,71.39,7.13,0,1,70.6,7.06,73.59,7.51,84.28,8.6,1
INT-MCA,F,81.3,8.13,0,0,81.4,8.14,95.4,9.5,98.88,9.8,0
INT-MCA,F,63.3,6.33,0,2,62.3,6.23,78.25,7.8,86.6,8.6,0
INT-MCA,F,67,6.7,0,1,66,6.6,70.75,7.07,76.66,7.66,0
INT-MCA,M,62.2,6.22,0,2,60.5,6.05,70.8,7.5,79.8,8.4,1
INT-MCA,F,61.7,6.17,0,3,61,6.1,72.75,7.27,83.33,8.3,0
INT-MCA,F,86,8.6,0,0,85.2,8.52,91,9.57,95,10,1
INT-MCA,F,80.2,8.02,0,0,79,7.9,84,8.4,96.66,9.6,0
INT-MCA,F,63.4,6.34,0,1,63.1,6.31,77.83,7.78,94.44,9.4,1
INT-MCA,M,64,6.4,1,1,64,6.4,65.4,6.9,79.8,8.4,0
INT-MCA,M,57.3,5.73,3,6,60,6,65.5,6.9,62.7,6.6,0
INT-MCA,M,74.7,7.82,0,0,72,7.2,76.83,7.6,97.77,9.7,0
INT-MCA,F,59.41,5.9,2,4,59,59.41,64.5,6.79,76,8,0
INT-MCA,F,69.6,6.96,0,3,69.9,6.99,76.2,8.02,87.4,9.2,1
INT-MCA,M,65.7,6.57,0,0,65,6.5,78.5,7.85,91.3,9.13,1
INT-MCA,F,79.16,7.9,0,0,78.8,7.88,82.25,8.2,81.11,8.1,0
INT-MCA,M,75.1,7.51,0,1,74.8,7.48,68.4,7.2,83.6,8.8,1
INT-MCA,F,67,6.7,0,0,66.3,6.63,78.16,7.81,76.66,7.66,0
INT-MCA,F,76.1,7.61,0,0,75.9,7.59,83.41,8.34,83.6,8.8,1
INT-MCA,F,72.1,7.21,0,0,71.5,7.15,75.83,7.5,80,8,1
INT-MCA,F,83.1,8.31,0,0,82.8,8.28,84.25,8.42,94.44,9.44,1
INT-MCA,M,73.1,7.31,0,0,73.62,7.12,69.8,6.9,81,8.1,1
INT-MCA,F,83.8,8.38,0,0,83.7,8.37,87,8.7,91,9.1,0
INT-MCA,F,74,7.4,0,1,72.87,7.28,77.41,7.74,85.55,8.55,0
INT-MCA,M,76.9,7.69,0,0,76.7,7.67,73,7.68,72.2,7.6,0
INT-MCA,F,65.3,6.53,0,3,65.2,6.52,76,7.6,93,9.3,1
MCA,M,44,4.75,2,0,66,6.6,59,6,90,9,1
MCA,M,70.75,7.45,0,0,70.95,7.47,75.6,7.56,80,8,1
MCA,M,53.8,5.73,1,0,63,6.3,70.3,7.4,68,6.8,1
MCA,F,60.45,6.45,1,3,60,6.07,68.6,7.2,82,8.6,0
MCA,F,69.5,7.32,0,0,66.8,7.03,64.4,6.8,77.9,8.2,1
MCA,F,67.25,7.1,0,0,63.5,6.35,65.4,6.5,78,7.8,0
